	ar_context	ar_label	name	hdi_context	hdi_label	purported_uses	ar_flag	hdi_flag
832	Hepatoxicity: Two cases with the use of powdered reishi mushroom, leading to death in one instance  (24) (25).,Chronic diarrhea: In a 49-year-old man with non-Hodgkin’s lymphoma following prolonged consumption of powdered reishi mushroom extract (26).,Pseudoparasitosis: Due to similarity in structure with Clonorchis sinensis ova, in a patient with a history of long-term ingestion of reishi mushrooms  (39).	Death,Chronic diarrhea,Diarrhoea,Diarrhea,Lymphoma	Reishi Mushroom	Anticoagulants / Antiplatelets: Reishi may increase the risk of bleeding (12).,Immunosuppressants: Reishi can enhance immune response (8).,Chemotherapeutic agents: Reishi can increase plasma antioxidant capacity, and in theory can interact with chemotherapeutic agents that rely on free radicals (6).,Cytochrome P450 substrates: Reishi polysaccharides inhibit CYP2E1, CYP1A2, and CYP3A, and can affect the intracellular concentration of drugs metabolized by these enzymes (15).		Fatigue,High cholesterol,HIV and AIDS,Hypertension,Immunostimulation,Inflammation,Strength and stamina,Viral infections,Lower urinary tract symptoms	True	True
836	Mild to moderate gastrointestinal symptoms and diarrhea at high doses (2.5 and 5 g daily) (27) (33).	Diarrhoea,Diarrhea	Resveratrol	Antiplatelet drugs: Although clinical relevance is yet to be determined, resveratrol inhibits platelet aggregation in vitro, so concurrent use with antiplatelet drugs may increase bleeding risk (70) (71). Therefore, use of this supplement should be discussed with the treating physician.,Cytochrome P450 substrates: Resveratrol inhibited CYP3A4, CYP2D6, CYP2C9, and induced CYP1A2 in healthy volunteers following daily intake of one gram of resveratrol for 4 weeks. Therefore, it can affect the levels of drugs that are metabolized by these enzymes (39).,Carbamazepine: Polygonum cuspidatum, an herbal supplement rich in resveratrol, increased carbamazepine blood levels due to CYP3A inhibition and multidrug resistance-associated protein 2 (MRP 2) in a murine model (40). Clinical relevance is yet to be determined.	resveratrol,Carbamazepine	Cancer prevention or treatment,Diabetes,Heart disease,Memory and cognitive function	False	True
840	Dizziness and dry mouth (6)	Dizziness,Dry mouth	Rhodiola	Cytochrome P450 3A4 substrates: In preclinical studies, rhodiola inhibits CYP3A4 and can affect the intracellular concentration of drugs metabolized by this enzyme (12) (21). Clinical relevance is yet to be determined.,Cytochrome P450 2C9 substrates: Rhodiola modestly inhibits CYP2C9, and may affect drugs metabolized by this enzyme, particularly those with a narrow therapeutic index such as phenytoin and warfarin (23).,P-glycoprotein substrates: In preclinical studies, rhodiola was shown to inhibit P-gp activity and can interfere with the metabolism of certain drugs (12) (21). Clinical relevance is yet to be determined.,Antidepressants: Rhodiola has MAO inhibition activity and may increase the serotonergic side effects (13).,Antihypertensives: Rhodiola has MAO inhibition activity and may increase the hypotensive side effects (13).,CNS Stimulants: Rhodiola has MAO inhibition activity and may enhance the hypertensive effect (13).	Enzyme,Phenytoin,Warfarin,Activity	Depression,Fatigue,Enhanced mental and physical performance	False	True
844	A case of acute crystal-induced renal failure has been reported in a type-1 diabetic patient (with normal excretory renal function) following excessive ingestion of rhubarb (18).	Renal failure,Diabetic	Rhubarb	Digoxin: Potassium loss due to rhubarb’s laxative effect can increase the risk of hypokalemia. (9),Cytochrome P450 substrates: Rhubarb induces CYP3A and CYP2D6 and can affect the intracellular concentration of drugs metabolized by these enzymes (15) (19). Clinical relevance is not known.,Melatonin: A study using human primary hepatocytes showed that concomitant use can cause metabolic disorder of melatonin (31).,Cyclosporine: Rhubarb decreased the bioavailablity of cyclosporine in a murine model. Clinical relevance is not known (32).,Methotrexate: Rhubarb was shown to increase exposure to methotrexate in a murine model. Clinical relevance is not clear (33).	Digoxin,Potassium,Melatonin,Human,Cyclosporine,Methotrexate	Cancer treatment,Constipation,Fever,Hypertension,Immunosuppression,Inflammation,Microbial infection,Peptic ulcers	False	True
848	Rooibos tea may cause hepatotoxicity (21).	Hepatotoxicity	Rooibos Tea	Rooibos tea induces CYP3A enzyme and may reduce serum level of substrate drugs (26).,Rooibos tea has antioxidant effects and can interfere with the action of certain chemotherapeutic agents.	Enzyme	Acne,Allergy,Aging,Asthma,Cancer,Colic,Eczema,High blood pressure,Hypoglycemic control,Insomnia	False	False
852	Anecdotal weight gain, facial rash and gastrointestinal discomfort (6).,Several cases of anaphylaxis (11) (12) (13), asthma (14) (15) (16), and hemorrhagic colitis (17) have been reported.	Weight gain,Weight,Facial rash,Rash,Gastrointestinal discomfort,Discomfort,Anaphylaxis,Asthma,Hemorrhagic colitis,Colitis	Royal Jelly	Warfarin: Royal jelly can enhance its effects (18).,Cholesterol-lowering medications: Theoretically, royal jelly may have additive effects (5).,Temozolomide: Royal jelly may increase the cytotoxic effect of temozolomide (28).	Warfarin,royal jelly,Cholesterol,temozolomide	Menopausal symptoms,Osteoporosis,Cholesterol management,Male infertility,Diabetes,Mucositis	False	True
856	Use of salvia by itself or in combination with alcoholic beverages and other drugs can cause neurologic, cardiovascular, and gastrointestinal effects (7).,Psychosis (8),A 15-year-old man with a history of salvia and marijuana use needed emergency psychiatric service following acute onset of mental status changes characterized by paranoia, blunted affect, thought blocking and slow speech (9).,Smoking salvia has been implicated in the death of a 21-year-old man (10).	Alcoholic,Psychosis,Marijuana use,Mental status changes,Paranoia,Blunted affect,Thought blocking,Slow speech,Death	Salvia Divinorum	 	 	Recreational use,Depression,Drug addiction,Stress management	False	False
860	"Generally well tolerated (32) (37) (42) (43)
Headache, mild GI upset, flatulence, nausea, vomiting, diarrhea
Patients with bipolar disorder may develop manic phase (11) (22) (37).
Case Reports
Serotonin syndrome: In a woman after simultaneous use of clomipramine and SAM-e (13).
Mania with psychotic features: In a patient, related to concomitant use of SAM-e and the SSRI escitalopram (46).
Increase of serum homocysteine: In some patients with AIDS-associated myelopathy (32)."	Headache,GI upset,Flatulence,Nausea,Vomiting,Diarrhoea,Diarrhea,Bipolar disorder,Manic,Serotonin syndrome,Mania,Psychotic,AIDS,Myelopathy	SAM-e	"Clomipramine: Serotonin syndrome was reported following concomitant administration of clomipramine and intramuscular S-adenosylmethionine (13).
Levodopa: There is concern that taking SAM-e over a period of time may decrease the effectiveness of L-dopa in Parkinson’s disease (49).
Antidepressants/anxiolytics (tricyclic antidepressants, MAOIs, and SSRIs): SAM-e may also raise serotonin levels, thereby increasing the risk of side effects or toxicities. A few case reports of mania and serotonin syndrome have been attributed to concomitant use of SAM-e (13) (46)."	Clomipramine,Serotonin,S-Adenosylmethionine,Levodopa	AIDS-related myelopathy,Alzheimer’s disease,Arthritis,Chronic liver disease,Drug-induced liver toxicity,Depression,Fibromyalgia,Hot flashes	True	True
864	 	 	Sarcandra glabra	 	 	Bruises,Bone fractures,Arthritis,Nausea,Internal pain,Cough,Bleeding disorders,Cancer treatment	False	False
868	Common: Hot flashes and diaphoresis. (4)	Hot flashes,Diaphoresis	Sassafras	Cytochrome P450 substrates: Safrole inhibits human CYP1A2, CYP2A6, and CYP2E1 and can affect the intracellular concentration of drugs metabolized by these enzymes (17).	Human	Detoxification,Health maintenance,Inflammation,Mucositis,Rheumatoid arthritis,Sprains,Syphilis,Urinary tract disorders	True	True
872	Hemopericardium: In a 76-year-old man receiving rivaroxaban who had also been taking saw palmetto. Although the development of hemopericardium appeared related to the use of rivaroxaban, saw palmetto may have contributed to the increase in rivaroxaban activity (49).,Intraoperative hemorrhage, anticoagulant effects and prolonged bleeding time: In a 53-year-old white male during surgical resection of a tumor, despite negative results for a workup for bleeding disorders and no preoperative use of anti-inflammatory medications. Further inquiry led to disclosed use of saw palmetto for BPH. Prolonged bleeding time normalized a few days after the patient stopped taking this supplement (11).,Hematuria and coagulopathy: In a 79-year-old man taking multiple medications along with long-term use of saw palmetto, the dosage of which he had recently increased to relieve BPH symptoms (21). Urinary symptoms and coagulation parameters improved with the discontinuation of saw palmetto.,Acute pancreatitis: In a 65-year-old man following use of saw palmetto for 1 week before onset of symptoms. His condition improved after treatment and avoiding saw palmetto (23).,Severe liver damage: In a 58-year-old man following consumption of saw palmetto to alleviate BPH symptoms (24).,Hot flashes and subsequent menarche: In an 11-year-old girl after treatment for a type of alopecia with a food supplement for 2 months that contained saw palmetto (35); and in a 10-year-old girl using a food supplement that contained saw palmetto extract to treat hirsutism. Symptoms abated when the supplement was discontinued and reappeared with a supplement “re-challenge”. Menarche also commenced about 4 months post-supplement (43).	Hemopericardium,Activity,Intraoperative hemorrhage,Hemorrhage,Haemorrhage,Bleeding time,Bleeding,BPH,Haematuria,Hematuria,Coagulopathy,Acute pancreatitis,Pancreatitis,Liver damage,Hot flashes,Menarche,Alopecia,Food,Hirsutism	Saw Palmetto	Anticoagulants, antiplatelets: Saw palmetto may have additive anticoagulant effects (11) (21) (49).,Nonsteroidal anti-inflammatory drugs (NSAIDs): Saw palmetto may have increase the risk of side effects with these drugs (21).,UGT (Uridine 5’-diphospho-glucuronosyltransferase) substrates: Saw palmetto inhibits UGT enzymes in vitro and can increase the side effects of drugs metabolized by them (25).,CYP 450 substrates: Saw palmetto inhibits cytochrome P450 3A4, 2D6, and 2C9 and may interfere with the actions of drugs metabolized by these enzymes (29).	Uridine	Benign prostatic hypertrophy (BPH),Inflammation,Promote urination,Prostate cancer	True	True
876	No serious side effects have been reported, although schisandra is not well studied in humans. A few minor adverse events, such as sleepiness and cold extremities, were observed in both treatment and placebo groups in one small trial (23).	Sleepiness,Cold extremities,Cold	Schisandra	Cytochrome P450 3A4 and 1A2 substrates: Schisandra inhibits CYP3A4 and CYP1A2 and can affect the intracellular concentration of drugs metabolized by these enzymes. Long-term use can also induce CYP3A4 activity (33) (34).,P-glycoprotein substrates: Schisandra can inhibit Pgp activity and interfere with the metabolism of certain drugs (35) (36).,Tacrolimus: Schisandra can increase blood levels of tacrolimus, an immunosuppressant, in liver transplant patients (24).	Activity,Tacrolimus	Asthma,Cough,Diarrhea,Indigestion,Liver disease,Strength and stamina,Sweating	False	True
880	"The venoms marketed to cancer patients currently remain untested and unregulated. A lack of documentation on side effects does not preclude the potential for adverse events.
Adverse events with respect to isolated substances being developed for clinical studies are also yet to be determined."	Cancer	Scorpion Venom	"Anticonvulsants: Theoretical interaction due to anticonvulsant properties (3).
Sympathomimetics: Theoretical interaction due to sympathomimetic properties (30)."		Analgesic,Anti-inflammatory,Cancer treatment,Chemotherapy side effects,Radiation side effects	False	True
884	"Hepatotoxicity, pneumonitis (7)
Case Report
Acute liver injury: In patients following consumption of a formula for osteoarthritis that contained baicalin derived from S. baicalensis (18)."	Hepatotoxicity,Pneumonitis,Acute liver injury,Liver injury,Injury,Osteoarthritis	Scutellaria baicalensis	Anticoagulants / Antiplatelets: May cause additive effects (12).,Statins: Baicalin, an active constituent, can decrease the blood level of statin drugs used to lower cholesterol (13).,Cytochrome P450 substrates: Wogonin inhibits CYP1A2 and CYP2C19, and can affect the intracellular concentration of drugs metabolized by these enzymes (16).,Solute carrier (SLC) transporters: Baicalein, baicalin, and wogonin inhibit uptake of specific substrates mediated by essential SLC transporters, which are important membrane proteins responsible for the cellular influx of various drugs (21).	baicalin,Cholesterol,baicalein,Proteins	Atherosclerosis,Cancer treatment,Epilepsy,Hepatitis,Infections,Inflammation,Insomnia	True	True
888	None reported		Scutellaria barbata	 	 	Bacterial infections,Cancer treatment,Hepatitis	False	False
892	 	 	Sea Cucumber	Anticoagulants: The polysaccharides sulfated fucan and fucosylated chondroitin sulfate may potentiate the actions of anticoagulants (8).	Chondroitin Sulfates	Antiaging,Arthritis,Cancer treatment,Frequent urination,Impotence	False	True
896	 	 	Seasilver	 	 	Cancer prevention,Detoxification	False	False
900	"Case Report: Oral consumption of 10 g of sodium selenite supplement for treatment of prostate cancer resulted in the death of a 75-year-old man (18).
Chronic selenosis (doses greater than 1000 mcg/day): Muscle weakness, fatigue, peripheral neuropathy, dermatitis, nail and hair changes/loss, garlic breath/body odor, irritability, growth retardation, hepatic necrosis.
Toxicity: Acute toxicity via selenium poisoning has been reported with either accidental or suicidal ingestion of gun bluing solution or sheep drench. Consumption of gram quantities of selenium can cause severe gastrointestinal and neurological disturbances, acute respiratory distress syndrome, myocardial infarction, and renal failure.
 (2) (5)"	Sodium,Prostate cancer,Cancer,Death,Muscle weakness,Weakness,Fatigue,Neuropathy,Dermatitis,Body odor,Irritability,Growth retardation,Hepatic necrosis,Necrosis,Selenium,Poisoning,Acute respiratory distress syndrome,Respiratory distress,Myocardial infarction,Infarction,Renal failure	Selenium	Vitamin C: High doses of selenium may decrease absorption (5).	Ascorbic Acid,Vitamin,Selenium	Cancer prevention,Cancer treatment,Cardiovascular disease,Immunostimulation,Rheumatoid arthritis	True	True
904	"Infrequent: Nausea, vomiting, dyspepsia, constipation, diarrhea, anorexia, hypoglycemia in a type II diabetic patient (5).
Case Report: A 57-year-old man experienced nausea, vomiting, diarrhea, anorexia, jaundice, low-grade fever, scleral icterus, and elevated liver function tests after consuming a shark cartilage supplement for 10 weeks. Normal liver function resumed after discontinuation of the supplement (16)."	Nausea,Vomiting,Dyspepsia,Constipation,Diarrhoea,Diarrhea,Anorexia,Hypoglycaemia,Hypoglycemia,Diabetic,Jaundice,Fever,Scleral icterus,Icterus,Liver function tests	Shark Cartilage	 	 	Arthritis,Cancer prevention,Cancer treatment,Colitis,Diabetic retinopathy,Glaucoma,Hemorrhoids,Immunostimulation,Inflammation,Kaposi sarcoma,Macular degeneration,Osteoarthritis,Osteoporosis,Psoriasis,Wound healing	True	False
908	Reported: Gastroenteritis, abdominal cramps, diarrhea leading to possible hypokalemia, renal and liver damage (2).	Gastroenteritis,Abdominal cramps,Cramps,Diarrhoea,Diarrhea,Hypokalemia,Hypokalaemia,Liver damage	Sheep Sorrel	Diuretics: Potassium loss due to stimulant laxative effect can increase potential risk for hypokalemia.	Potassium	Cancer treatment,Diarrhea,Fever,Inflammation,Scurvy	True	True
912	 	 	Shi Quan Da Bu Tang	"Tamoxifen: Dong quai has estrogenic activity and may antagonize the effects of tamoxifen used to treat breast cancer.
Immunosuppressants: Astragalus may antagonize the effects of immunosuppressants such as tacrolimus and cyclosporine."	Tamoxifen,Activity,Tacrolimus,Cyclosporine	Appetite,Cancer treatment,Dry Skin,Dryness of mouth,Fatigue,Night Sweating	False	True
916	"Case Reports
Hypersensitivity pneumonitis: In a lung cancer patient following exposure to shiitake spores (10), and in a 37-year-old man following inhalation of shiitake mushroom spores (23).
Dermatitis, photosensitivity, eosinophilia, and gastrointestinal upset: Following prolonged consumption of shiitake powder (11) (12).
Shiitake dermatitis, flagellate erythema: Patterns of whiplike, linear, erythematous wheals after consumption of raw or even cooked shiitake mushrooms which has been associated with toxic reactions to the constituent lentinan (24) (25) (26) (27) (42) (43) (44) (45) (46) (47) (49).
Intermittent dermatitis over a 16-year period: Linked to consumption of shiitake mushrooms in a 45-year-old male (19).
Esophageal symptoms: Linked to a food allergy in a 37-year-old man following consumption of shiitake mushroom (20).
Small bowel obstruction: Caused by ingestion of a whole shiitake mushroom, resulting in necrosis and mucosal damage in the small intestine (28)."	Hypersensitivity,Pneumonitis,Lung cancer,Cancer,Dermatitis,Photosensitivity,Eosinophilia,Gastrointestinal upset,Flagellate erythema,Erythema,Wheals,Food allergy,Food,Allergy,Small bowel obstruction,Bowel obstruction,Obstruction,Necrosis	Shiitake Mushroom	 	 	Cancer prevention,Cancer treatment,High cholesterol,Immunostimulation,Infections	True	False
920	"Sho-saiko-to-related pneumonitis has been reported in 74 patients (approximately 1 in 20,000) (3).
Liver injuries and hepatitis have been associated with the use of Sho-saiko-to (16) (17)."	Pneumonitis,Hepatitis	Sho-saiko-to	"Interferon: Concurrent use may increase the risk of interstitial pneumonitis (3).
Drugs metabolized by Cytochrome P450 enzymes: Sho-saiko-to upregulated expression of CYP2B, CYP3A1 and CYP4A1 and can alter the plasma concentration of these drugs (19). Sho-saiko-to also interacts with drugs metabolized by CYP3A4, CYP2C9 and CYP1A2 enzymes (20).
Tolbutamide: Sho-saiko-to reduces the bioavailability following concurrent oral administration (21)."	Tolbutamide	Cancer prevention,Cancer treatment,Fever,GI disorders,Infections,Liver disease,Malaria	False	True
924	"Case report
Subarachnoid hemorrhage: In a 53-year-old woman following use of an herbal supplement containing red clover, dong quai, and Siberian ginseng for hot flashes associated with perimenopause. Symptoms resolved after supplement discontinuation (19)."	Subarachnoid hemorrhage,Subarachnoid haemorrhage,Hemorrhage,Haemorrhage,Herbal supplement,Hot flashes,Perimenopause	Siberian Ginseng	Digoxin: Elevates serum digoxin levels (12).,Cytochrome P450 substrates: Eleutherosides B and E may inhibit CYP2C9 and CYP2E1, and can affect the intracellular concentration of drugs metabolized by these enzymes (30).	Digoxin	Chemotherapy side effects,Health maintenance,Immunostimulation,Strength and stamina	True	True
928	 	 	Slippery Elm	Theoretically, slippery elm may slow the absorption of concomitantly administered oral medications (6).		Bronchitis,Cancer treatment,Cough,Diarrhea,Fever,Inflammation,Peptic ulcers,Skin abscesses,Skin ulcers,Sore throat	False	False
932	May cause allergic reactions (15).		Smilax glabra	 	 	Arthritis,Dermatitis,Dysentery,Nephritis,Liver disease,Antibacterial,Antiviral,Urinary tract infections,Cancer	False	False
936	Two constituents of S. flavescens, kurarinone and sophoraflavanone G, have hepatotoxic effects in animal studies (30).	Animal	Sophora flavescens	Paclitaxel: In mice, S. flavescens flavonoids may enhance the effects of Taxol against certain tumors (16).,Ampicillin/gentamicin: In vitro, sophoraflavanone G may increase the activity of these antibiotics against oral bacteria (17).	Paclitaxel,Ampicillin,Gentamicin,Activity	Cancer treatment,Cardiovascular disease,Asthma,Arrhythmia	False	True
940	Flatulence, allergic reactions	Flatulence	Soy	Tamoxifen: Animal studies suggest that genistein may antagonize the effects of tamoxifen on estrogen-dependent breast cancer (MCF-7) (38) (39). Relevance in humans has yet to be determined.,Aromatase inhibitors: Genistein induced MCF-7 tumor cell growth and increased breast cancer-associated aromatase expression and activity, in vitro, suggesting that soy-based supplements may affect the efficacy of aromatase inhibitors used in breast cancer treatment (55).,Cytochrome P450 substrates: Soymilk and miso were shown to induce CYP3A4 in vivo, and may affect the intracellular concentration of drugs metabolized by this enzyme (86).,P-Glycoprotein: Soymilk and miso were shown to induce P-Gp in vivo, and can affect the intracellular concentration of certain drugs (86).,Uridine 5’-diphospho-glucuronosyltransferase (UGT) substrates: Soy modulates UGT enzymes in vitro and can increase the side effects of drugs metabolized by them (75).,Membrane organic anion-transporting polypeptides (OATPs): Soy isoflavones and their metabolites were shown to affect transport of drugs across tissue barriers via human OATP2B1, in vitro. Clinical relevance is not known (98).	Tamoxifen,Animal,Genistein,Cell,Activity,Enzyme,Uridine,Tissue,Human	Cancer prevention,Cardiovascular disease,High cholesterol,Menopausal symptoms,Osteoporosis	False	True
944	Spilanthes has diuretic activity in animals (7), but there are no documented adverse effects with its use in humans.	Activity	Spilanthes acmella	Cytochrome P4502E1 (CYP2E1) substrates: Spilanthol significantly inhibits CYP2E1 (17), and may increase adverse effects of substrate drugs, including those used in general anesthesia such as isoflurane and sevoflurane.,Antiandrogen drugs (bicalutamide, flutamide, abiraterone): S. acmella may increase testosterone levels (5) and counter the effects of these drugs.,Diuretics: S. acmella has loop diuretic activity (7), and may have additive effects with other diuretic drugs.	Isoflurane,sevoflurane,bicalutamide,Flutamide,abiraterone,Testosterone,Activity	Gum infections,Inflammation,Sore throat,Stomatitis,Toothache,Wound healing	False	True
948	In clinical studies using the parenteral form of squalamine, symptoms including fatigue, nausea, anorexia, and hepatotoxicity have been reported (9).	Fatigue,Nausea,Anorexia,Hepatotoxicity	Squalamine	Cisplatin, paclitaxel, and cyclophosphamide: Squalamine may increase cytotoxic effects (6) (8) (10).,Colistin and tobramycin: Squalamine may increase antibiotic effects (13).	Cisplatin,Paclitaxel,Cyclophosphamide,Colistin,Tobramycin,Antibiotic	Cancer treatment,Age-related macular degeneration,Bacterial infections	False	True
952	"Common: Headache, nausea, dry mouth, sleepiness, and gastrointestinal upset (5).
Infrequent: Photosensitivity (18), neuropathy (29), increased prothrombin time (21).
  Case reports
Acute transplant rejection: Two patients with prior heart transplantation due to end-stage ischemic cardiomyopathy who were maintained on immunosuppressive regimens that included cyclosporin experienced transplant rejection directly linked to the use of St. John’s wort. After discontinuation of the supplement, plasma cyclosporin returned to therapeutic values (45). A subsequent report of 45 kidney or liver transplant recipients also describe rejection episodes or declines in trough levels of cyclosporin (average, 49%) linked to ingestion of St. John’s wort. In many cases, these patients did not inform their healthcare team about their ingestion of this supplement (46).

Cardiovascular collapse: Hypotension without anaphylactic symptoms occurred shortly after induction of general anesthesia was potentially linked to long-term use of St. John’s wort in a patient (47).

Severe drug-induced acute hepatitis: A 61-year-old woman with chronic hepatitis C receiving pegylated interferon α obtained undetectable qualitative hepatitis C virus that persisted after treatment suspension. The patient revealed use of St. John’s wort for depressed mood in the preceding 6 weeks. She was hospitalized after continued worsening of liver function tests and tested positive for antinuclear antibodies. Elevated levels slowly declined after methylprednisolone treatment, but a new flare occurred with steroid tapering. Liver function tests returned to baseline levels after 6 months of prednisone treatment. It was determined the combination of pegylated interferon α and St. John’s wort resulted in severe acute hepatitis in this patient (48).

Mania: Occurred in 3 patients with underlying bipolar disorder but resolved promptly in 2 patients following discontinuation while the third experienced persistent agitation for several months (36).

Serotonin syndrome: Hypertension, diaphoresis, agitation, dizziness, and weakness with acute onset occurred in 1 patient following 10 days of St. John’s wort, but resolved following supportive care and supplement discontinuation (49). In a case series, five elderly patients who combined prescription antidepressants with St. John’s wort were clinically diagnosed with central serotonergic syndrome (44).

Erythroderma: Developed 4 days after initiation of St. John’s wort affecting both light-exposed and non light-exposed areas of skin, and resolved after 5 weeks with concomitant oral steroids (50).

Hypericin-induced radiation recall dermatitis: A 65-year-old man with completely resected squamous cell carcinoma of the epiglottis who received adjuvant locoregional radiotherapy (RT) developed unusual intensive skin reactions during treatment. The skin was completely bland at follow-up, but half a year later the previously irradiated skin became erythematous. The patient took hypericin for depressive mood during and months after RT without informing the physician. Local application of a steroid cream diminished symptoms that would return after the end of steroid therapy. Symptoms eventually disappeared with the discontinuation of hypericin (40).

Photosensitivity reactions: Three cases of photosensitivity reactions occurred in individuals who used topical and/or oral St. John’s wort preparations prior to sun exposure or undergoing phototherapy (18). Although 2 of the 3 cases were complicated by pre-existing disease and therapy, St. John’s wort photosensitivity was still the identified cause, and in the patient with pre-existing disease did not entirely resolve.

Subacute toxic neuropathy: A 35-year-old woman who took St. John’s Wort for mild depression developed stinging pain on sun-exposed areas after 4 weeks which worsened during and after sun exposure. Pain was provoked by light touch or air movement. Symptoms began to improve 3 weeks after St. John’s wort was withdrawn, and disappeared after 2 months (29).

Sexual dysfunction: Decreased sexual libido was normalized following discontinuation of St. John’s wort (51).

Withdrawal syndrome: Nausea, anorexia, dry retching, dizziness, dry mouth, thirst, cold chills, and extreme fatigue occurred in a patient within 24 hours of stopping intake of St. John’s wort after 32 days of treatment (52).

Prolonged facial dystonia: Reported in a 58-year-old Caucasian woman following use of bupropion along with St. John’s wort (53)."	Headache,Nausea,Dry mouth,Sleepiness,Gastrointestinal upset,Photosensitivity,Neuropathy,Prothrombin time,Prothrombin,Transplant rejection,Transplant,Ischemic cardiomyopathy,Ischaemic cardiomyopathy,Cardiomyopathy,Liver transplant,Cardiovascular collapse,Hypotension,General anesthesia,General anaesthesia,Anesthesia,Anaesthesia,Hepatitis,Chronic hepatitis C,Chronic hepatitis,Hepatitis C,Virus,Depressed mood,Liver function tests,Mania,Bipolar disorder,Agitation,Serotonin syndrome,Hypertension,Diaphoresis,Dizziness,Weakness,Supportive care,Elderly,Erythroderma,Dermatitis,Squamous cell carcinoma,Cell,Carcinoma,Radiotherapy,Steroid therapy,Phototherapy,Pre-existing disease,Toxic neuropathy,Depression,Stinging,Pain,Withdrawn,Sexual dysfunction,Withdrawal syndrome,Anorexia,Retching,Thirst,Cold,Chills,Fatigue,Dystonia	St. John's Wort	CYP450 3A4 (57) and CYP 2C9 (58) substrate drugs: St. John’s wort induces these isoenzymes, affecting the metabolism of certain medications and reducing serum concentrations (59). Drugs metabolized by these enzymes include:,HIV protease inhibitors: Blood levels of indinavir and ritonavir can be significantly reduced, resulting in increased HIV viral load and development of viral resistance (60) (61).,HIV non-nucleoside reverse transcriptase inhibitors: Increased oral clearance and lowered plasma concentrations of nevirapine possibly resulting in antiretroviral resistance and treatment failure (62).,Cyclosporin / tacrolimus: Blood levels of cyclosporin (45) (46) or tacrolimus (63) (64) can be significantly reduced, resulting in decreased efficacy or acute transplant rejection.,Diltiazem / nifedipine: Blood levels of diltiazem or nifedipine can be reduced, resulting in decreased efficacy (36).,Irinotecan: Due to changes in hepatic metabolism caused by St. John’s wort, levels of irinotecan metabolite SN-38 may be lowered by as much as 40% for up to 3 weeks following discontinuation of St. John’s wort (37).,Imatinib: Increased clearance (38) (39).,Docetaxel: Subtherapeutic docetaxel concentrations may result when docetaxel is administered to patients who regularly use St. John’s wort (65).,Warfarin: May increase or decrease activity when administered concomitantly. Internal normalization ratio should be monitored routinely (66).,Clopidogrel: May enhance clopidogrel-induced platelet inhibition (17).,Triptans: Increased serotonergic effect and possible serotonin syndrome when combined with sumatriptan, naratriptan, rizatriptan, or zolmitriptan (36).,SSRIs: Increased serotonergic effect and possible serotonin syndrome when combined with citalopram, fluoxetine, fluvoxamine, paroxetine, or sertraline (49).,Tricyclic antidepressants: Increased serotonergic effect and possible serotonin syndrome when combined with nefazodone, amitriptyline, or imipramine. Possible reduction in efficacy of antidepressants due to changes in metabolism (36).,Zolpidem: decreased plasma concentration (67).,Oral contraceptives: May reduce blood levels resulting in decreased efficacy (ie, breakthrough bleeding or pregnancy) (43).,Alcohol: May result in increased sedation (36).,Alprazolam: May reduce blood levels, resulting in decreased efficacy (57).,Dextromethorphan: May reduce blood levels, resulting in decreased efficacy (57).,Simvastatin: Increased clearance, resulting in elevated LDL cholesterol (68).,Atorvastatin: Increased clearance, resulting in elevated LDL cholesterol (69).,Rosuvastatin: Reduces efficacy via increased clearance (70).,Oxycodone: Reduces oxycodone plasma concentrations, significantly reducing its effectiveness (71).,Gliclazide: Increased clearance (58).,Clozapine: Reduces plasma level of clozapine (73).,Methotrexate: Increases exposure and toxicity of Methotrexate in rats (74).,P-gp substrate drugs: St. John’s wort induces intestinal P-gp, resulting in decreased absorption and lowered plasma concentrations of certain drugs including digoxin (54), talinolol (55), and fexofenadine (56). It may also produce severe adverse effects in conjunction with pegylated interferon α (48).,UGT (Uridine 5’-diphospho-glucuronosyltransferase) substrates: St. John’s wort modulates UGT enzymes in vitro and may increase the side effects of drugs such as acetaminophen (31).	Indinavir,Ritonavir,Nevirapine,Tacrolimus,Diltiazem,Nifedipine,irinotecan,imatinib,docetaxel,Warfarin,Activity,clopidogrel,Serotonin,Sumatriptan,naratriptan,rizatriptan,zolmitriptan,Citalopram,Fluoxetine,Fluvoxamine,Paroxetine,Sertraline,nefazodone,Amitriptyline,Imipramine,zolpidem,Alprazolam,Dextromethorphan,Simvastatin,Cholesterol,atorvastatin,rosuvastatin,Oxycodone,Gliclazide,Clozapine,Methotrexate,Digoxin,talinolol,fexofenadine,Uridine,Acetaminophen	Depression,Fatigue,Insomnia,Pain,Premenstrual syndrome,Seasonal affective disorder,Wound healing	True	True
956	Case Report: Four patients in a study experienced abdominal fullness, myalgia, nausea, and asthenia following consumption of 500 mg stevioside powder. Their symptoms disappeared after 1 week of treatment (4).	Abdominal fullness,Myalgia,Nausea,Asthenia	Stevia	Verapamil: Stevia may have additive antihypertensive effects (9).,Antidiabetics: Stevia may affect blood glucose level, so dosages may have to be adjusted (10).	Verapamil,Glucose	Sweetener,Hypertension,Antitumor,Inflammation,Weight loss,Diabetes	True	True
